"Quarter","Revenue_Millions","Income_Millions"
2020-03-31,75452,2535
2019-12-31,87437,3268
2019-09-30,69981,2134
2019-06-30,63404,2625
2019-03-31,59700,3561
2018-12-31,72383,3027
2018-09-30,56576,2883
2018-06-30,52886,2534
2018-03-31,51042,1629
2017-12-31,60453,1856
2017-09-30,43744,256
2017-06-30,37955,197
2017-03-31,35714,724
2016-12-31,43741,749
2016-09-30,32714,252
2016-06-30,30404,857
2016-03-31,29128,513
2015-12-31,35746,482
2015-09-30,25358,79
2015-06-30,23185,92
2015-03-31,22717,-57
2014-12-31,29328,214
2014-09-30,20579,-437
2014-06-30,19340,-126
2014-03-31,19741,108
2013-12-31,25586,240
2013-09-30,17092,-41
2013-06-30,15704,-7
2013-03-31,16070,82
2012-12-31,21268,98
2012-09-30,13806,-274
2012-06-30,12834,7
2012-03-31,13185,130
2011-12-31,17431,176
2011-09-30,10876,63
2011-06-30,9913,191
2011-03-31,9857,201
2010-12-31,12947,415
2010-09-30,7560,231
2010-06-30,6566,207
2010-03-31,7131,299
2009-12-31,9520,384
2009-09-30,5449,199
2009-06-30,4651,142
2009-03-31,4889,177
2008-12-31,6704,226
2008-09-30,4264,118
2008-06-30,4063,158
2008-03-31,4135,143
2007-12-31,5672,207
2007-09-30,3262,80
2007-06-30,2886,78
2007-03-31,3015,111
2006-12-31,3986,98
2006-09-30,2307,19
2006-06-30,2139,22
2006-03-31,2279,51
2005-12-31,2977,199
2005-09-30,1858,30
2005-06-30,1753,52
2005-03-31,1902,78
